file	scenario	theme	clientWidthDip	dpi	fixture
10-copy-four-streams__light__480dip__fr-FR__display1__144dpi.png	10-copy-four-streams	light	480	144	production-renderer-synthetic-presentation
10-copy-four-streams__light__760dip__fr-FR__display1__144dpi.png	10-copy-four-streams	light	760	144	production-renderer-synthetic-presentation
31-completed-group-expanded__light__480dip__fr-FR__display1__144dpi.png	31-completed-group-expanded	light	480	144	production-renderer-synthetic-presentation
33-decision-file-exists__light__480dip__fr-FR__display1__144dpi.png	33-decision-file-exists	light	480	144	production-renderer-synthetic-presentation
33-decision-file-exists__light__760dip__fr-FR__display1__144dpi.png	33-decision-file-exists	light	760	144	production-renderer-synthetic-presentation
55-decision-permanent-delete__light__480dip__fr-FR__display1__144dpi.png	55-decision-permanent-delete	light	480	144	production-renderer-synthetic-presentation
10-copy-four-streams__rainbow__480dip__fr-FR__display1__144dpi.png	10-copy-four-streams	rainbow	480	144	production-renderer-synthetic-presentation
10-copy-four-streams__rainbow__760dip__fr-FR__display1__144dpi.png	10-copy-four-streams	rainbow	760	144	production-renderer-synthetic-presentation
31-completed-group-expanded__rainbow__480dip__fr-FR__display1__144dpi.png	31-completed-group-expanded	rainbow	480	144	production-renderer-synthetic-presentation
33-decision-file-exists__rainbow__480dip__fr-FR__display1__144dpi.png	33-decision-file-exists	rainbow	480	144	production-renderer-synthetic-presentation
33-decision-file-exists__rainbow__760dip__fr-FR__display1__144dpi.png	33-decision-file-exists	rainbow	760	144	production-renderer-synthetic-presentation
55-decision-permanent-delete__rainbow__480dip__fr-FR__display1__144dpi.png	55-decision-permanent-delete	rainbow	480	144	production-renderer-synthetic-presentation
10-copy-four-streams__high-contrast__480dip__fr-FR__display1__144dpi.png	10-copy-four-streams	high-contrast	480	144	production-renderer-synthetic-presentation
10-copy-four-streams__high-contrast__760dip__fr-FR__display1__144dpi.png	10-copy-four-streams	high-contrast	760	144	production-renderer-synthetic-presentation
31-completed-group-expanded__high-contrast__480dip__fr-FR__display1__144dpi.png	31-completed-group-expanded	high-contrast	480	144	production-renderer-synthetic-presentation
33-decision-file-exists__high-contrast__480dip__fr-FR__display1__144dpi.png	33-decision-file-exists	high-contrast	480	144	production-renderer-synthetic-presentation
33-decision-file-exists__high-contrast__760dip__fr-FR__display1__144dpi.png	33-decision-file-exists	high-contrast	760	144	production-renderer-synthetic-presentation
55-decision-permanent-delete__high-contrast__480dip__fr-FR__display1__144dpi.png	55-decision-permanent-delete	high-contrast	480	144	production-renderer-synthetic-presentation
99-speed-custom__dark__fr-FR__display1__144dpi.png	99-speed-custom	dark	0	144	production-dialog-synthetic-input
100-speed-invalid__dark__fr-FR__display1__144dpi.png	100-speed-invalid	dark	0	144	production-dialog-synthetic-input
101-speed-valid__dark__fr-FR__display1__144dpi.png	101-speed-valid	dark	0	144	production-dialog-synthetic-input
01-empty__dark__480dip__fr-FR__display2__96dpi.png	01-empty	dark	480	96	production-renderer-synthetic-presentation
02-preparing__dark__480dip__fr-FR__display2__96dpi.png	02-preparing	dark	480	96	production-renderer-synthetic-presentation
03-awaiting-acceptance__dark__480dip__fr-FR__display2__96dpi.png	03-awaiting-acceptance	dark	480	96	production-renderer-synthetic-presentation
04-queued-start-now__dark__480dip__fr-FR__display2__96dpi.png	04-queued-start-now	dark	480	96	production-renderer-synthetic-presentation
05-queued-overlap-no-start-now__dark__480dip__fr-FR__display2__96dpi.png	05-queued-overlap-no-start-now	dark	480	96	production-renderer-synthetic-presentation
06-discovery-before-transfer__dark__480dip__fr-FR__display2__96dpi.png	06-discovery-before-transfer	dark	480	96	production-renderer-synthetic-presentation
07-discovery-and-transfer__dark__480dip__fr-FR__display2__96dpi.png	07-discovery-and-transfer	dark	480	96	production-renderer-synthetic-presentation
08-discovering-as-needed__dark__480dip__fr-FR__display2__96dpi.png	08-discovering-as-needed	dark	480	96	production-renderer-synthetic-presentation
09-copy-single-stream__dark__480dip__fr-FR__display2__96dpi.png	09-copy-single-stream	dark	480	96	production-renderer-synthetic-presentation
10-copy-four-streams__dark__480dip__fr-FR__display2__96dpi.png	10-copy-four-streams	dark	480	96	production-renderer-synthetic-presentation
10-copy-four-streams__dark__760dip__fr-FR__display2__96dpi.png	10-copy-four-streams	dark	760	96	production-renderer-synthetic-presentation
11-speed-limited__dark__480dip__fr-FR__display2__96dpi.png	11-speed-limited	dark	480	96	production-renderer-synthetic-presentation
12-move__dark__480dip__fr-FR__display2__96dpi.png	12-move	dark	480	96	production-renderer-synthetic-presentation
13-delete__dark__480dip__fr-FR__display2__96dpi.png	13-delete	dark	480	96	production-renderer-synthetic-presentation
14-paused__dark__480dip__fr-FR__display2__96dpi.png	14-paused	dark	480	96	production-renderer-synthetic-presentation
15-stopping__dark__480dip__fr-FR__display2__96dpi.png	15-stopping	dark	480	96	production-renderer-synthetic-presentation
16-callback-silence__dark__480dip__fr-FR__display2__96dpi.png	16-callback-silence	dark	480	96	production-renderer-synthetic-presentation
17-verifying__dark__480dip__fr-FR__display2__96dpi.png	17-verifying	dark	480	96	production-renderer-synthetic-presentation
18-completed__dark__480dip__fr-FR__display2__96dpi.png	18-completed	dark	480	96	production-renderer-synthetic-presentation
19-completed-verified__dark__480dip__fr-FR__display2__96dpi.png	19-completed-verified	dark	480	96	production-renderer-synthetic-presentation
20-partial-skipped__dark__480dip__fr-FR__display2__96dpi.png	20-partial-skipped	dark	480	96	production-renderer-synthetic-presentation
21-move-source-kept__dark__480dip__fr-FR__display2__96dpi.png	21-move-source-kept	dark	480	96	production-renderer-synthetic-presentation
22-clipboard-move-source-kept__dark__480dip__fr-FR__display2__96dpi.png	22-clipboard-move-source-kept	dark	480	96	production-renderer-synthetic-presentation
23-move-source-unknown__dark__480dip__fr-FR__display2__96dpi.png	23-move-source-unknown	dark	480	96	production-renderer-synthetic-presentation
24-failed__dark__480dip__fr-FR__display2__96dpi.png	24-failed	dark	480	96	production-renderer-synthetic-presentation
25-canceled-after-progress__dark__480dip__fr-FR__display2__96dpi.png	25-canceled-after-progress	dark	480	96	production-renderer-synthetic-presentation
26-interrupted-move__dark__480dip__fr-FR__display2__96dpi.png	26-interrupted-move	dark	480	96	production-renderer-synthetic-presentation
27-long-unicode-paths__dark__480dip__fr-FR__display2__96dpi.png	27-long-unicode-paths	dark	480	96	production-renderer-synthetic-presentation
27-long-unicode-paths__dark__760dip__fr-FR__display2__96dpi.png	27-long-unicode-paths	dark	760	96	production-renderer-synthetic-presentation
28-compact-progress__dark__480dip__fr-FR__display2__96dpi.png	28-compact-progress	dark	480	96	production-renderer-synthetic-presentation
29-footer-only__dark__480dip__fr-FR__display2__96dpi.png	29-footer-only	dark	480	96	production-renderer-synthetic-presentation
